event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,3,,8,48,112984.0,112772,112984.0,,,,288,112984000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=8 bytes=48 time_ms=112772
RX,REAL,,3,8,48,113015.168,112584,113015.168,112772,112584,31.168000000005122,289,113015168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=8 send_ms=112772 recv_ms=112584 bytes=48
TX,REAL,5,,8,48,114065.0,113095,114065.0,,,,291,114065000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=8 bytes=48 time_ms=113095
RX,REAL,,5,8,48,114107.168,113676,114107.168,113095,113676,42.16800000000512,292,114107168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=8 send_ms=113095 recv_ms=113676 bytes=48
TX,REAL,6,,9,48,115838.0,115750,115838.0,,,,294,115838000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=9 bytes=48 time_ms=115750
RX,REAL,,6,9,48,115851.88,115420,115851.88,115750,115420,13.880000000004657,295,115851880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=9 send_ms=115750 recv_ms=115420 bytes=48
TX,REAL,2,,10,48,118380.0,117987,118380.0,,,,299,118380000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=10 bytes=48 time_ms=117987
RX,REAL,,2,10,48,118413.88,117982,118413.88,117987,117982,33.88000000000466,300,118413880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=10 send_ms=117987 recv_ms=117982 bytes=48
TX,REAL,7,,10,48,120067.0,120045,120067.0,,,,304,120067000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=10 bytes=48 time_ms=120045
RX,REAL,,7,10,48,120097.88,119666,120097.88,120045,119666,30.880000000004657,305,120097880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=10 send_ms=120045 recv_ms=119666 bytes=48
TX,REAL,4,,8,48,121083.0,120134,121083.0,,,,307,121083000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=8 bytes=48 time_ms=120134
RX,REAL,,4,8,48,121143.168,120712,121143.168,120134,120712,60.16800000000512,308,121143168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=8 send_ms=120134 recv_ms=120712 bytes=48
