dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
uci_har,adaptive_strong_privacy,lstm,fixed_attacker,0.2,1.0,0.5,0.5,False,0.6982241827847528,0.18154054971157108,0.5166836330731818,0.11521449041374347,4.732987828314406,1.0392053134883648,0.1008656064353407,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_strong_privacy,lstm,retrain_attacker,0.2,1.0,0.5,0.5,False,0.4043660219432191,0.5777626965275422,-0.17339667458432295,0.52237276225264,4.732987828314406,1.0392053134883648,0.1008656064353407,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_strong_privacy,mlp,fixed_attacker,0.2,1.0,0.5,0.5,False,0.8061305282207895,0.16649700260151568,0.6396335256192739,0.04769349346648236,4.732987828314406,1.0392053134883648,0.1008656064353407,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_strong_privacy,mlp,retrain_attacker,0.2,1.0,0.5,0.5,False,0.2205632846963013,0.6412170568940164,-0.4206537721977152,0.6064693036650249,4.732987828314406,1.0392053134883648,0.1008656064353407,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_weak_privacy,lstm,fixed_attacker,1.0,6.0,0.5,0.5,False,0.6982241827847528,0.44463296007239,0.25359122271236284,0.366051495202994,0.19960897542215894,0.24895871792952215,0.57486860968952,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_weak_privacy,lstm,retrain_attacker,1.0,6.0,0.5,0.5,False,0.43467933491686456,0.6426874787919918,-0.2080081438751272,0.6163776976038915,0.19960897542215894,0.24895871792952215,0.57486860968952,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_weak_privacy,mlp,fixed_attacker,1.0,6.0,0.5,0.5,False,0.8061305282207895,0.2963465671304151,0.5097839610903744,0.21343178263574394,0.19960897542215894,0.24895871792952215,0.57486860968952,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_weak_privacy,mlp,retrain_attacker,1.0,6.0,0.5,0.5,False,0.30347245786675714,0.7483316366926819,-0.44485917882592463,0.7368857449328483,0.19960897542215894,0.24895871792952215,0.57486860968952,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_sensitivity_only,lstm,fixed_attacker,0.4,4.0,1.0,0.0,False,0.6982241827847528,0.4114919126795611,0.2867322701051917,0.3375648129888922,0.6887854412687854,0.3792534430075097,0.31668032627367365,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_sensitivity_only,lstm,retrain_attacker,0.4,4.0,1.0,0.0,False,0.3690758963918109,0.648795385137428,-0.279719488745617,0.616105935686932,0.6887854412687854,0.3792534430075097,0.31668032627367365,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
